```csv
2025-01-25,Walton Fridge WFC-3F5-GDEL-XX,Electronics,42000,9500,1,4.8,No,10,bKash,Dhaka
2025-01-26,Nestle Nido Milk Powder 1kg,Groceries,890,220,2,4.4,No,140,Nagad,Sylhet
2025-01-27,Vision Rice Cooker 1.8L,Home & Kitchen,3200,850,1,4.1,No,25,Rocket,Khulna
2025-01-28,Apple iPhone 13,Electronics,85000,15000,1,4.9,No,8,bKash,Dhaka
2025-01-29,Fresh Hilsha Fish 1kg,Groceries,1800,450,2,4.5,No,35,Cash on Delivery,Barisal
2025-01-30,Lux Beauty Soap,Beauty,120,35,4,3.9,No,400,Nagad,Rangpur
2025-01-31,Leather Wallet Mens,Fashion,950,300,1,4.0,No,70,bKash,Chittagong
2025-02-01,Asus VivoBook 15,Electronics,65000,12000,1,4.6,No,12,Credit Card,Dhaka
2025-02-02,ACI Pure Salt 1kg,Groceries,55,10,6,4.1,No,600,Rocket,Rajshahi
2025-02-03,Polar Ice Cream Chocolate,Food,350,90,3,4.2,No,90,Cash on Delivery,Dhaka
2025-02-04,Mi Power Bank 20000mAh,Mobile Accessories,2400,650,1,4.4,No,45,bKash,Cumilla
2025-02-05,Bata School Shoes,Fashion,2200,700,1,4.3,No,28,Nagad,Sylhet
2025-02-06,Fresh Soyabean Oil 5L,Groceries,920,240,2,4.0,No,110,bKash,Dhaka
2025-02-07,Walton Smart TV 43 Inch,Electronics,38000,8500,1,4.7,No,9,Credit Card,Khulna
2025-02-08,Tanvir Coconut Oil,Beauty,280,80,2,3.7,No,150,Rocket,Barisal
2025-02-09,RFL Plastic Chair,Home & Kitchen,650,180,3,4.1,No,95,bKash,Rangpur
2025-02-10,Infinix Hot 40i,Electronics,14500,3800,1,4.2,No,22,Nagad,Dhaka
2025-02-11,Pran Chanachur 150g,Food,90,20,5,3.9,No,450,Cash on Delivery,Sylhet
2025-02-12,Keya Soap Bar,Beauty,75,18,6,4.0,No,500,bKash,Khulna
2025-02-13,Easy Fashion Polo Shirt,Fashion,1450,420,1,4.2,No,40,Rocket,Dhaka
2025-02-14,Canon PIXMA Printer,Electronics,12500,3200,1,4.5,No,15,Credit Card,Chittagong
2025-02-15,Teer Atta 2kg,Groceries,140,30,4,4.1,No,320,Nagad,Rajshahi
2025-02-16,Fresh Eggs 12pcs,Groceries,160,35,3,4.3,No,180,bKash,Dhaka
2025-02-17,Nivea Men Face Wash,Beauty,420,120,2,4.4,No,75,Cash on Delivery,Cumilla
2025-02-18,Logitech Wireless Mouse,Electronics,1800,500,1,4.6,No,55,bKash,Dhaka
2025-02-19,Walton Blender Machine,Home & Kitchen,2500,650,1,4.1,No,30,Rocket,Barisal
2025-02-20,Adidas Sports T-Shirt,Fashion,2200,600,1,4.5,No,20,Credit Card,Dhaka
2025-02-21,Pran UHT Milk 1L,Groceries,110,22,5,4.0,No,240,Nagad,Rangpur
