date,product_name,product_category,sales,profit,quantity,rating,returned,stock,payment_method,customer_city
2025-01-01,Cats Eye Jeans,Fashion,202608,64023.51,28,4.2,No,252,Cash on Delivery,Comilla
2025-01-03,Bashundhara Tissue Box,Home & Kitchen,669935,260869.93,35,4.6,No,221,Bank Transfer,Rangpur
2025-01-04,Awei Bluetooth Headset,Mobile Accessories,327761,121497.59,49,4.1,No,318,Bank Transfer,Chittagong
2025-01-09,Kiam Pressure Cooker,Home & Kitchen,370790,75429.26,35,4.5,No,64,Bank Transfer,Chittagong
2025-01-09,Aarong Cotton Saree,Fashion,150687,39410.01,27,4.8,No,145,Card,Khulna
2025-01-09,Bioaqua Serum,Beauty,51088,11684.61,16,4.4,No,350,Rocket,Chittagong
2025-01-11,Vaseline Lotion,Beauty,19701,6578.0,9,3.8,No,95,Nagad,Narayanganj
2025-01-13,Teer Flour 2kg,Groceries,19395,6735.77,15,4.8,Yes,25,bKash,Dhaka
2025-01-13,Cute Perfume,Beauty,57708,14096.53,21,3.0,No,219,bKash,Dhaka
2025-01-14,Dell Inspiron Laptop,Electronics,444426,163883.78,6,4.1,No,56,Rocket,Dhaka
2025-01-14,Canon EOS 200D,Electronics,652635,154247.54,9,4.0,No,460,bKash,Khulna
2025-01-16,LG Microwave Oven,Electronics,858312,243731.85,14,4.1,No,300,Nagad,Mymensingh
2025-01-16,Haier Refrigerator 220L,Electronics,1764672,595081.81,26,4.9,Yes,321,bKash,Dhaka
2025-01-17,Asus VivoBook 15,Electronics,78304,24854.26,2,4.6,No,2,Nagad,Chittagong
2025-01-19,Vision Rice Cooker,Home & Kitchen,125988,49467.2,6,4.8,No,243,Card,Dhaka
2025-01-20,Infinity Hijab,Fashion,259000,84078.38,50,3.6,No,34,Rocket,Chittagong
2025-01-24,Bashundhara Tissue Box,Home & Kitchen,70640,27283.43,10,4.3,No,224,bKash,Dhaka
2025-01-27,Xiaomi Redmi Note 13,Electronics,719430,164796.73,6,4.2,Yes,50,Nagad,Rajshahi
2025-01-27,Bombay Sweets Chanachur,Groceries,14250,3119.34,5,3.9,No,474,Nagad,Dhaka
2025-01-27,LG Microwave Oven,Electronics,447768,128788.47,9,3.7,No,132,Cash on Delivery,Dhaka
2025-01-29,Bata Formal Shoes,Fashion,55776,13879.27,28,4.5,No,322,Cash on Delivery,Sylhet
2025-01-30,Kiam Pressure Cooker,Home & Kitchen,89911,25102.23,47,4.6,No,5,Cash on Delivery,Chittagong
