date,product_name,product_category,sales,profit,quantity,rating,returned,stock,payment_method
2024-04-10,ACI Salt,Groceries,228261.07,70608.95,20,4.8,0,65,Visa Card
2024-09-28,Bombay Sweets Chanachur,Snacks,47883.35,3875.62,5,2.5,0,257,Rocket
2024-12-10,Walton Fridge,Electronics,67413.25,19140.93,16,3.5,0,189,Cash
2024-06-04,ACI Salt,Groceries,46531.77,4248.49,12,4.2,0,314,Cash
2024-07-06,Sunsilk Shampoo,Personal Care,146315.93,41580.19,14,3.2,0,398,Nagad
2024-07-11,Kazi Farms Chicken,Frozen Food,99459.64,17208.28,12,3.4,0,496,Visa Card
2025-03-07,ACI Salt,Groceries,140886.74,18512.64,17,3.0,0,216,Visa Card
2024-01-19,Easy Fashion Shirt,Fashion,268893.2,89496.52,19,4.1,0,161,Cash
2024-06-05,Singer Rice Cooker,Electronics,36455.54,10588.68,6,3.8,0,292,Cash
2025-02-19,Dettol Handwash,Personal Care,17341.42,3432.18,2,4.7,1,121,Visa Card
2025-02-24,Navana Helmet,Automotive,195508.48,33688.85,14,3.2,0,113,Nagad
2025-02-04,Sunsilk Shampoo,Personal Care,92831.4,17048.74,9,4.8,0,381,Visa Card
2024-01-13,RFL Chair,Furniture,14909.9,4719.77,3,3.3,1,197,Visa Card
2024-04-28,Fresh Milk,Dairy,39179.99,6244.24,18,3.7,1,448,bKash
2024-01-08,Dettol Handwash,Personal Care,5151.08,1625.98,1,3.2,0,409,bKash
2024-08-22,Pran Noodles,Groceries,39023.84,10083.23,10,3.0,1,83,Visa Card
2024-01-16,Dettol Handwash,Personal Care,233229.82,24994.07,20,4.5,0,118,Rocket
2024-02-07,ACI Salt,Groceries,41866.41,5430.87,5,4.2,0,272,bKash
2025-01-26,RFL Chair,Furniture,63439.48,10559.3,5,4.2,0,75,Nagad
2024-07-07,Akij Cement,Construction,71244.09,21232.32,14,3.6,0,277,Nagad
2025-04-18,Fresh Soybean Oil,Groceries,146584.81,17949.36,13,4.1,0,300,Mastercard
2024-06-07,RFL Chair,Furniture,7375.15,737.52,1,3.5,0,245,Mastercard
2025-01-14,ACI Salt,Groceries,113548.43,24887.09,11,2.9,0,290,Mastercard
2024-07-14,Olympic Biscuit,Snacks,4576.29,620.69,3,4.0,0,427,Rocket
2025-04-06,Lux Soap,Personal Care,5302.8,1246.46,6,2.8,0,353,Nagad
2024-07-04,Easy Fashion Shirt,Fashion,22682.07,6066.24,16,3.1,1,279,bKash
2025-04-20,Singer Rice Cooker,Electronics,257218.21,89791.07,20,3.4,0,388,Cash
2024-08-01,Kazi Farms Chicken,Frozen Food,8740.56,1053.0,1,3.1,0,465,bKash
2024-03-12,Singer Rice Cooker,Electronics,6053.85,2077.21,1,4.0,1,174,Visa Card
2024-03-18,Singer Rice Cooker,Electronics,7806.97,2476.79,3,2.8,0,382,Nagad
2024-07-08,Bashundhara Tissue,Household,8369.7,2626.39,1,4.2,1,113,Visa Card
2024-02-21,Lux Soap,Personal Care,3880.03,785.71,1,4.6,1,218,Rocket
2024-06-18,Square Toiletries Lotion,Personal Care,25297.84,6948.88,9,3.6,1,276,Cash
2024-11-22,Vision TV,Electronics,290962.32,43869.14,18,2.8,0,350,bKash
2024-10-20,Easy Fashion Shirt,Fashion,274377.54,81174.56,18,3.4,1,389,Nagad
2025-05-11,Easy Fashion Shirt,Fashion,41841.44,6893.43,19,4.6,0,451,Cash
2024-07-01,Bashundhara Tissue,Household,11365.98,3908.07,15,2.9,1,15,Nagad
2025-01-24,Fresh Soybean Oil,Groceries,69385.25,9531.52,9,2.8,0,16,Mastercard
2025-02-20,Easy Fashion Shirt,Fashion,27840.21,4211.75,16,3.8,0,149,Nagad
2024-04-15,Square Toiletries Lotion,Personal Care,36494.41,11339.11,7,4.8,0,340,Visa Card
2024-09-23,Olympic Biscuit,Snacks,231234.64,79746.83,19,4.6,0,249,Nagad
2025-02-15,RFL Chair,Furniture,4990.14,1294.68,5,3.0,0,384,bKash
2024-11-09,Vision TV,Electronics,84467.8,19371.03,8,4.5,1,277,Cash
2024-11-07,Bata School Shoe,Fashion,62626.13,15657.13,5,2.7,0,377,Rocket
2024-08-13,Minister Blender,Electronics,49247.76,16587.39,4,4.8,0,452,Visa Card
2025-03-30,Dettol Handwash,Personal Care,2114.68,516.85,1,3.1,0,235,Mastercard
2025-04-08,Minister Blender,Electronics,152765.17,13273.23,14,4.2,0,207,Visa Card
2024-06-07,Akij Cement,Construction,99552.7,22641.29,10,4.8,0,312,Cash
2024-04-21,Walton Fridge,Electronics,11352.99,3064.62,4,2.6,0,233,Mastercard
2025-05-13,Sunsilk Shampoo,Personal Care,66825.08,18534.99,5,2.6,0,15,Mastercard
2025-02-28,Akij Cement,Construction,33911.93,9454.88,7,4.9,0,126,Nagad
2024-12-04,Kazi Farms Chicken,Frozen Food,137782.04,16141.31,12,4.6,1,420,Mastercard
2024-06-17,Dettol Handwash,Personal Care,10599.66,2356.08,1,3.6,0,451,Rocket
2024-08-28,Singer Rice Cooker,Electronics,10501.81,2238.02,3,4.1,0,304,Nagad
2025-01-02,Kazi Farms Chicken,Frozen Food,253537.93,55687.83,18,2.7,0,192,Rocket
2024-02-27,Bashundhara Tissue,Household,10320.65,2683.44,1,3.0,0,432,Cash
2025-03-18,Easy Fashion Shirt,Fashion,23316.69,3643.52,3,2.7,1,472,bKash
2025-05-06,Aarong Panjabi,Fashion,13659.5,3319.41,1,3.1,1,273,Mastercard
2024-04-01,Square Toiletries Lotion,Personal Care,82734.4,23107.86,7,2.9,0,35,Visa Card
2024-06-26,Navana Helmet,Automotive,62681.68,13236.15,5,3.4,0,160,Cash
2024-08-17,Pran Mango Juice,Beverages,143781.95,15324.94,11,3.1,0,143,Cash
2025-05-08,Walton Fan,Electronics,20431.97,4393.78,3,3.8,1,262,Cash
2025-03-17,Olympic Biscuit,Snacks,86866.87,8814.35,7,3.9,1,125,Mastercard
2024-08-05,Olympic Biscuit,Snacks,7640.77,2592.83,1,5.0,1,10,Mastercard
2024-04-12,ACI Salt,Groceries,114354.46,21284.94,8,3.5,0,433,Nagad
2024-10-18,Bombay Sweets Chanachur,Snacks,55672.91,8419.69,4,3.1,0,86,Nagad
2024-08-21,RFL Chair,Furniture,18592.16,1861.27,8,4.4,0,165,Visa Card
2024-02-24,Pran Mango Juice,Beverages,194774.27,31195.31,14,4.7,1,50,bKash
2025-02-17,Singer Rice Cooker,Electronics,108866.44,14955.11,8,3.1,0,373,Rocket
2025-02-05,Bashundhara Tissue,Household,136568.2,13132.89,19,4.4,0,146,Nagad
2024-10-11,Bashundhara Tissue,Household,19052.03,2812.32,2,3.0,0,236,Cash
2025-04-19,Kazi Farms Chicken,Frozen Food,51393.39,11187.77,14,3.8,1,105,bKash
2024-02-29,Fresh Soybean Oil,Groceries,207492.79,52831.96,12,4.7,0,42,Mastercard
2024-10-05,Sunsilk Shampoo,Personal Care,40928.78,8477.92,3,4.1,0,419,Visa Card
2025-03-05,Minister Blender,Electronics,13228.45,3034.12,1,4.7,1,213,bKash
2024-03-21,Dettol Handwash,Personal Care,306642.23,76183.34,20,3.4,0,477,Mastercard
2025-03-14,Pran Noodles,Groceries,312085.16,80656.51,20,3.6,0,285,Cash
2025-02-26,Pran Noodles,Groceries,38487.18,11272.03,14,3.5,1,248,bKash
2024-09-16,Navana Helmet,Automotive,69759.67,20094.32,5,4.4,1,423,Cash
2024-12-29,Singer Rice Cooker,Electronics,33514.55,9969.54,19,4.4,0,47,Cash
2024-05-26,Walton Fridge,Electronics,182759.4,53655.19,20,4.3,0,228,Nagad
2024-11-23,ACI Salt,Groceries,200944.56,21101.86,18,4.0,0,385,bKash
2024-06-25,Pran Noodles,Groceries,11504.3,1029.32,1,4.6,0,315,Rocket
2024-05-22,Olympic Biscuit,Snacks,27822.48,6829.64,16,3.6,1,395,Mastercard
2024-09-30,Kazi Farms Chicken,Frozen Food,337717.04,81585.67,20,3.2,1,291,Mastercard
2024-07-01,Fresh Soybean Oil,Groceries,63553.6,11827.84,20,3.0,1,327,Mastercard
2024-05-01,Olympic Biscuit,Snacks,84366.01,18330.18,12,3.5,0,233,Cash
2025-01-08,Square Toiletries Lotion,Personal Care,98014.89,9279.57,20,2.8,0,139,Cash
2025-01-24,Bata School Shoe,Fashion,33631.11,4178.86,4,3.0,0,255,bKash
2024-11-29,Bata School Shoe,Fashion,21797.53,3013.03,13,4.0,0,340,bKash
2025-01-12,RFL Chair,Furniture,107780.05,16536.99,16,3.4,1,13,Mastercard
2024-04-26,Kazi Farms Chicken,Frozen Food,73974.1,25824.16,8,2.9,0,350,Visa Card
2024-03-02,Pran Mango Juice,Beverages,152361.29,26243.22,12,3.8,0,446,Visa Card
2024-02-16,Singer Rice Cooker,Electronics,141099.92,40343.16,10,3.4,1,135,Mastercard
2024-12-21,Easy Fashion Shirt,Fashion,38830.1,4413.17,6,4.7,0,244,bKash
2025-04-28,Akij Cement,Construction,84324.51,25209.14,19,4.4,0,414,Rocket
2024-11-06,Vision TV,Electronics,2921.71,899.74,2,4.0,0,167,Rocket
2024-02-07,Walton Fridge,Electronics,9368.78,2395.58,11,3.2,0,89,bKash
2024-10-24,Minister Blender,Electronics,99124.31,12257.36,10,4.6,0,271,Rocket
2024-09-14,Square Toiletries Lotion,Personal Care,205510.41,46570.2,19,5.0,0,394,Mastercard
2025-03-13,Lux Soap,Personal Care,144612.27,50244.15,14,3.5,0,445,Rocket
2024-03-06,Vision TV,Electronics,296260.5,44810.07,18,3.6,1,294,Rocket
2024-05-21,Bata School Shoe,Fashion,79466.22,20089.94,13,2.9,0,371,bKash
2025-03-12,Akij Cement,Construction,4768.55,685.41,2,4.0,0,182,bKash
2024-12-09,Pran Mango Juice,Beverages,101510.54,31275.9,11,2.7,0,231,Mastercard
2024-10-06,Fresh Soybean Oil,Groceries,19729.06,2538.71,2,2.7,1,441,Visa Card
2024-12-23,Olympic Biscuit,Snacks,53231.4,8416.46,8,3.0,1,476,bKash
2024-10-06,Square Toiletries Lotion,Personal Care,10136.03,2026.52,1,4.0,1,82,Nagad
2025-04-13,Sunsilk Shampoo,Personal Care,10390.44,2234.02,2,2.6,0,421,Nagad
2024-07-13,Bata School Shoe,Fashion,6772.57,1040.71,10,4.2,1,172,Rocket
2024-09-08,Sunsilk Shampoo,Personal Care,6956.75,1823.8,2,4.7,1,363,Cash
2024-05-09,Square Toiletries Lotion,Personal Care,14410.31,3228.42,19,3.3,0,47,Nagad
2025-03-31,Dettol Handwash,Personal Care,116971.6,25964.99,9,2.5,0,30,Rocket
2024-01-05,Singer Rice Cooker,Electronics,18501.97,3680.37,6,2.7,0,473,Nagad
2024-12-14,RFL Chair,Furniture,93077.97,12862.06,17,4.1,0,268,Mastercard
2024-09-11,Olympic Biscuit,Snacks,8558.85,2904.94,5,4.7,0,104,Nagad
2024-05-18,Bombay Sweets Chanachur,Snacks,154451.73,38783.47,16,3.6,0,59,Rocket
2025-02-08,Walton Fridge,Electronics,67633.37,17149.4,6,2.8,0,99,Rocket
2025-05-15,Vision TV,Electronics,95430.7,18016.55,8,2.6,0,20,Visa Card
2024-12-29,Walton Fan,Electronics,5006.22,731.72,15,3.0,0,357,Nagad
2024-08-09,Minister Blender,Electronics,87329.49,24597.93,10,4.5,0,497,Nagad
2024-03-06,ACI Salt,Groceries,18697.53,1867.51,8,2.9,0,63,Cash
2024-03-10,Dettol Handwash,Personal Care,1349.03,243.01,2,4.1,0,318,bKash
2024-06-06,Lux Soap,Personal Care,1847.36,398.75,1,2.6,1,17,Cash
2024-09-24,Singer Rice Cooker,Electronics,252504.66,32011.32,16,4.5,0,87,Cash
2025-02-22,Square Toiletries Lotion,Personal Care,84528.09,10841.02,6,4.0,0,249,Mastercard
2024-06-09,Square Toiletries Lotion,Personal Care,11358.78,2543.23,16,4.5,0,407,Mastercard
2025-03-24,Minister Blender,Electronics,245779.43,56046.36,18,3.4,1,255,Mastercard
2024-04-10,Pran Noodles,Groceries,108555.22,29992.91,11,3.6,0,390,Rocket
2024-01-12,Bashundhara Tissue,Household,160784.06,49804.52,10,2.7,0,345,Nagad
2024-06-05,Walton Fan,Electronics,59696.14,19157.23,10,3.0,0,67,Mastercard
2024-04-22,RFL Chair,Furniture,65200.43,21562.87,7,4.8,0,150,Visa Card
2024-01-21,Walton Fan,Electronics,172713.23,32944.8,17,2.7,1,62,Visa Card
2024-02-21,Vision TV,Electronics,24773.51,5253.65,3,4.9,0,233,bKash
2024-08-13,Kazi Farms Chicken,Frozen Food,11975.66,3690.26,18,4.2,0,56,Nagad
2024-05-31,Teer Atta,Groceries,118882.33,28210.77,9,3.1,0,337,Nagad
2024-11-22,Kazi Farms Chicken,Frozen Food,148503.95,20813.55,16,4.6,0,44,Cash
2024-11-20,Minister Blender,Electronics,63375.84,5549.64,10,3.0,1,497,Cash
2024-08-26,Fresh Milk,Dairy,35203.93,7481.08,15,4.0,0,275,Rocket
2024-02-27,RFL Chair,Furniture,98500.92,23836.65,9,4.4,0,49,Rocket
2025-03-30,Kazi Farms Chicken,Frozen Food,149790.93,12011.48,11,3.6,0,317,Nagad
2024-04-11,Sunsilk Shampoo,Personal Care,164487.87,40254.11,19,3.9,1,449,Rocket
2024-10-23,Singer Rice Cooker,Electronics,95846.75,26996.27,12,4.5,0,87,Mastercard
2024-07-26,Olympic Biscuit,Snacks,16817.14,1612.86,4,4.1,1,194,Mastercard
2024-12-17,ACI Salt,Groceries,9330.53,2297.8,1,3.3,0,238,Nagad
2025-04-18,Kazi Farms Chicken,Frozen Food,41793.13,10098.71,17,3.6,0,273,Cash
2024-10-19,Pran Noodles,Groceries,20830.34,2601.36,6,3.1,0,98,Mastercard
2025-03-03,Square Toiletries Lotion,Personal Care,56365.49,14023.53,7,3.4,0,199,Mastercard
2024-04-12,Olympic Biscuit,Snacks,67621.05,11896.65,6,4.4,1,16,Mastercard
2025-04-01,ACI Salt,Groceries,153187.69,44133.04,12,4.8,0,198,bKash
2024-06-14,Square Toiletries Lotion,Personal Care,212710.44,59151.42,17,2.9,0,191,Visa Card
2024-12-01,Fresh Soybean Oil,Groceries,176324.84,53743.59,16,4.8,0,52,Mastercard
2025-01-19,Fresh Milk,Dairy,166477.39,48529.28,14,4.5,0,459,Visa Card
2024-01-07,Square Toiletries Lotion,Personal Care,2489.48,424.91,5,4.7,0,39,Nagad
2024-12-26,Singer Rice Cooker,Electronics,137405.9,22943.84,15,3.2,0,320,Nagad
2024-12-10,Square Toiletries Lotion,Personal Care,43071.74,4705.91,8,3.7,0,360,Visa Card
2024-01-29,Dettol Handwash,Personal Care,10603.92,1504.78,5,3.2,0,354,Cash
2024-06-11,Fresh Milk,Dairy,4387.51,1087.83,1,4.2,0,405,Visa Card
2025-03-20,Kazi Farms Chicken,Frozen Food,2414.35,553.2,15,4.8,0,44,Visa Card
2024-07-23,Vision TV,Electronics,126341.22,29844.76,11,4.8,0,201,bKash
2024-12-07,RFL Chair,Furniture,12581.97,3302.42,11,3.4,0,51,Cash
2024-04-01,Square Toiletries Lotion,Personal Care,120042.9,11199.8,15,3.9,1,193,Visa Card
2025-03-13,Pran Noodles,Groceries,5890.68,734.81,6,3.1,0,105,Visa Card
2024-12-04,Bata School Shoe,Fashion,132206.35,26648.23,15,3.7,1,125,Nagad
2024-05-07,Vision TV,Electronics,64465.73,7411.42,6,3.4,0,130,Mastercard
2024-11-17,Olympic Biscuit,Snacks,191411.05,50201.5,16,4.7,1,470,Nagad
2024-11-19,Pran Noodles,Groceries,18702.21,3371.83,9,4.6,0,331,Visa Card
2025-02-03,Aarong Panjabi,Fashion,162800.5,27953.92,19,4.6,0,469,Mastercard
2025-01-16,Fresh Milk,Dairy,95532.33,15407.87,11,4.7,0,206,Mastercard
2024-12-28,Navana Helmet,Automotive,20212.71,1771.75,2,3.9,1,368,Visa Card
2025-03-25,Pran Noodles,Groceries,180664.12,35032.34,15,4.8,0,161,Mastercard
2024-09-23,Teer Atta,Groceries,9537.35,1653.82,9,4.2,0,65,Nagad
2024-12-28,Sunsilk Shampoo,Personal Care,31549.71,10145.66,3,4.9,0,299,Rocket
2024-06-20,Bombay Sweets Chanachur,Snacks,73859.37,17182.28,12,3.6,1,21,bKash
2024-11-01,Dettol Handwash,Personal Care,16868.75,5160.01,8,4.5,1,397,Rocket
2024-02-24,Fresh Soybean Oil,Groceries,220506.9,27443.45,16,3.8,0,337,Cash
2024-08-24,Vision TV,Electronics,83469.34,16277.86,10,2.6,0,293,bKash
2024-05-16,Kazi Farms Chicken,Frozen Food,249267.13,48652.69,19,3.9,1,161,Cash
2024-12-29,Easy Fashion Shirt,Fashion,250517.71,32341.63,18,4.0,0,86,Nagad
2025-03-31,Pran Mango Juice,Beverages,6301.64,737.87,1,4.6,1,146,Rocket
2024-12-23,Navana Helmet,Automotive,4172.47,448.06,13,4.9,1,98,Nagad
2025-01-24,Bata School Shoe,Fashion,39196.2,4339.42,14,4.5,1,179,Rocket
2024-02-03,ACI Salt,Groceries,219913.49,48328.9,14,3.0,0,252,Nagad
2024-11-23,Dettol Handwash,Personal Care,45813.68,5066.07,5,3.8,0,203,Cash
2024-07-17,Easy Fashion Shirt,Fashion,7070.85,1427.71,1,2.9,0,49,Nagad
2025-01-01,RFL Chair,Furniture,120524.36,21071.31,9,3.9,0,342,Rocket
2024-03-14,Bombay Sweets Chanachur,Snacks,140456.67,30059.97,12,4.4,1,468,Mastercard
2024-07-09,Kazi Farms Chicken,Frozen Food,29634.12,8587.02,10,3.3,0,498,Cash
2024-03-22,Vision TV,Electronics,155596.89,29480.92,12,4.0,0,33,Cash
2024-10-10,Bombay Sweets Chanachur,Snacks,158660.94,53438.91,10,4.3,0,253,Mastercard
2024-11-18,Minister Blender,Electronics,134996.89,21219.16,19,4.6,0,254,Cash
2024-09-18,Sunsilk Shampoo,Personal Care,76597.15,23367.86,17,4.2,0,190,bKash
